Record_ID,Entity_Name,State,Covered_Entity_Type,Individuals_Affected,Submission_Date,Submission_Year,Submission_Month,Breach_Type,Information_Location,Business_Associate_Present,Investigation_Status,Large_Breach_100K,Log_Individuals_Affected,Business_Associate_Flag,Hacking_IT_Flag,Unauthorized_Access_Flag,Theft_Flag,Loss_Flag,Improper_Disposal_Flag,Potential_Duplicate_Flag,Model_Ready_Flag
HHS-000078,Providence St. Joseph Orange,CA,Healthcare Provider,11329,2026-02-27,2026,2,Hacking/IT Incident,Network Server,Yes,Archived,0,9.3352093540220515,1,1,0,0,0,0,0,1
HHS-000079,Orthopaedic Institute of Western Kentucky,KY,Healthcare Provider,11474,2026-02-27,2026,2,Hacking/IT Incident,Network Server,Yes,Archived,0,9.3479260349287454,1,1,0,0,0,0,0,1
HHS-000080,Jackson Hospital and Clinic,AL,Healthcare Provider,13910,2026-02-27,2026,2,Hacking/IT Incident,Network Server,Yes,Archived,0,9.5404351730595707,1,1,0,0,0,0,0,1
HHS-000081,Oscar Health,NY,Health Plan,91350,2026-02-27,2026,2,Unauthorized Access/Disclosure,Paper/Films,No,Archived,0,11.422464508653734,0,0,1,0,0,0,0,1
HHS-000082,Aetna,CT,Business Associate,775,2026-02-27,2026,2,Unauthorized Access/Disclosure,Paper/Films,Yes,Archived,0,6.654152520183219,1,0,1,0,0,0,0,1
HHS-000083,Aetna,CT,Business Associate,10888,2026-02-27,2026,2,Unauthorized Access/Disclosure,Paper/Films,Yes,Archived,0,9.2955083843460606,1,0,1,0,0,0,0,1
HHS-000084,"Boston Mountain Rural Health Center, Inc.",AR,Healthcare Provider,4800,2026-02-27,2026,2,Hacking/IT Incident,Network Server,Yes,Archived,0,8.476579508530941,1,1,0,0,0,0,0,1
HHS-000085,CenterWell ACE/Home Solutions,KY,Healthcare Provider,7972,2026-02-27,2026,2,Hacking/IT Incident,Network Server,Yes,Archived,0,8.9838161125024953,1,1,0,0,0,0,0,1
HHS-000086,University of Michigan Health Plan,MI,Health Plan,2315,2026-02-26,2026,2,Unauthorized Access/Disclosure,Email,No,Archived,0,7.7475968386928855,0,0,1,0,0,0,0,1
HHS-000087,Commonwealth Care Alliance,MA,Health Plan,634,2026-02-25,2026,2,Unauthorized Access/Disclosure,Paper/Films,No,Archived,0,6.4536249988926917,0,0,1,0,0,0,0,1
HHS-000088,AccentCare,TX,Healthcare Provider,19101,2026-02-24,2026,2,Hacking/IT Incident,Network Server,Yes,Archived,0,9.8575483205946828,1,1,0,0,0,0,0,1
HHS-000089,"Prairie View Healthcare, Inc.",OK,Healthcare Provider,700,2026-02-24,2026,2,Hacking/IT Incident,Electronic Medical Record,Yes,Archived,0,6.5525078870345901,1,1,0,0,0,0,0,1
HHS-000090,Weill Cornell Medicine,NY,Healthcare Provider,516,2026-02-23,2026,2,Unauthorized Access/Disclosure,Electronic Medical Record,No,Archived,0,6.2480428745084291,0,0,1,0,0,0,0,1
HHS-000091,Communications Workers of America Local 1180 Security Benefits Fund,NY,Health Plan,18550,2026-02-13,2026,2,Unauthorized Access/Disclosure,"Electronic Medical Record, Other",Yes,Archived,0,9.8282789749383728,1,0,1,0,0,0,0,1
HHS-000092,"Alexes Hazen MD, PLLC",NY,Healthcare Provider,4675,2026-02-12,2026,2,Hacking/IT Incident,"Email, Network Server",No,Archived,0,8.4501983225919588,0,1,0,0,0,0,0,1
HHS-000093,University Spine Center,NJ,Healthcare Provider,582,2026-02-12,2026,2,Hacking/IT Incident,"Network Server, Other",Yes,Archived,0,6.3681871863504922,1,1,0,0,0,0,0,1
HHS-000094,"BlueCross BlueShield of Tennessee, Inc.",TN,Business Associate,1670,2026-02-11,2026,2,Hacking/IT Incident,Network Server,Yes,Archived,0,7.4211775285953934,1,1,0,0,0,0,0,1
HHS-000095,"First Choice Community Home Care, Inc.",TX,Healthcare Provider,725,2026-02-11,2026,2,Hacking/IT Incident,Network Server,Yes,Archived,0,6.5875500148247959,1,1,0,0,0,0,0,1
HHS-000096,"Five Star Home Health, Inc.",OK,Healthcare Provider,1575,2026-02-10,2026,2,Hacking/IT Incident,Network Server,Yes,Archived,0,7.3626452704178247,1,1,0,0,0,0,0,1
HHS-000097,Houston Health Department,TX,Healthcare Provider,6695,2026-02-10,2026,2,Hacking/IT Incident,Network Server,Yes,Archived,0,8.8092656121693107,1,1,0,0,0,0,0,1
HHS-000098,"ApolloMD Business Services, LLC",GA,Business Associate,626540,2026-02-10,2026,2,Hacking/IT Incident,Network Server,Yes,Archived,1,13.347969494113915,1,1,0,0,0,0,0,1
HHS-000099,"Transitions of Western Illinois, Inc.",IL,Healthcare Provider,805,2026-02-09,2026,2,Unauthorized Access/Disclosure,Paper/Films,No,Archived,0,6.692083742506628,0,0,1,0,0,0,0,1
HHS-000100,Adapt Integrated Health Care,OR,Healthcare Provider,2908,2026-02-09,2026,2,Hacking/IT Incident,Network Server,Yes,Archived,0,7.9755646584952018,1,1,0,0,0,0,0,1
HHS-000101,EDGAR A MARTORELL MD LLC,FL,Healthcare Provider,1107,2026-02-06,2026,2,Hacking/IT Incident,Network Server,Yes,Archived,0,7.0103118673072293,1,1,0,0,0,0,0,1
HHS-000102,"Vikor Scientific, LLC.",SC,Healthcare Provider,139964,2026-02-06,2026,2,Hacking/IT Incident,"Network Server, Other",Yes,Archived,1,11.849147670336231,1,1,0,0,0,0,0,1
HHS-000103,Marin Cancer Care,CA,Healthcare Provider,27332,2026-02-06,2026,2,Hacking/IT Incident,Network Server,No,Archived,0,10.215850042381968,0,1,0,0,0,0,0,1
HHS-000104,Utah Valley Pediatrics LC,UT,Healthcare Provider,9958,2026-02-06,2026,2,Hacking/IT Incident,Network Server,Yes,Archived,0,9.2062319439316393,1,1,0,0,0,0,0,1
HHS-000105,La Pine Community Health Center,OR,Healthcare Provider,1190,2026-02-05,2026,2,Hacking/IT Incident,Desktop Computer,Yes,Archived,0,7.0825485693552999,1,1,0,0,0,0,0,1
HHS-000106,"Advanced Homecare Management, LLC DBA Enhabit Home Health & Hospice",TX,Healthcare Provider,23154,2026-02-05,2026,2,Hacking/IT Incident,Network Server,Yes,Archived,0,10.049966018914853,1,1,0,0,0,0,0,1
